ID,Translation
PHL,Philips
SAM,Samsung
GSM,LG
DEL,Dell
AOC,AOC
BEN,BenQ
ASU,ASUS
MSI,MSI
LEN,Lenovo
HPN,HP
ACI,ASUS
SEC,Samsung
BOE,BOE
HKC,HKC
GIG,Gigabyte
